ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
2020-09,70.0493791403209,69.7963913898493,71.182969222807,66.4770341274555,80.9763352027039,72.185911415403,69.3514773777628,67.1076019358827,80.5351648069926,70.8108724069009,72.6796490075781,67.8189006622924,78.3390110787814,70.708829524533,68.929323068004,76.962772822238,69.0234742818059,74.9136126206039
2020-10,72.6839151656851,73.1270213751453,72.5371992941435,70.6304420553668,82.8603741144674,75.4257514067426,71.4915760945442,69.9014125193953,80.4282109808556,72.6345279777633,72.7763546140113,70.1123899697025,79.9846439267159,77.4708285563555,71.3140030118064,78.112694200908,72.1958806585446,76.3197007978862
2020-11,74.9805124245577,75.118544849199,74.6989751916909,73.2319739727114,84.9495601631968,78.4005830281134,74.1147571288702,72.4298733901091,79.9650127828593,76.3311327150419,73.100192092035,72.3690714793521,82.0970615455147,79.0489264091799,74.1221123909877,79.0513181705835,74.6288449972336,78.2744923477655
2020-12,77.9839073403659,78.3873410555875,77.2337549015502,75.8784802243133,87.4638014744828,80.2770839942036,77.9992198417424,75.9752168971876,79.9421858116247,80.303043013347,73.1363434978899,75.6926784857654,83.5205431730477,80.1055790030641,77.7326012545925,81.1452199127293,77.5316607631125,81.4146024657961
2021-01,81.1414986913093,82.1686013864469,80.7098961945345,76.9206337041331,88.4600151820624,82.6577536330317,80.6442056554469,79.4688095998579,92.0371511792708,84.170142181712,73.5600084242499,79.7694631492504,85.2260905091888,82.5210523777029,80.7765150369956,85.3172007442048,80.7801973158662,84.508263650503
2021-02,84.0420084103583,85.3086046201281,83.605138294538,79.0861197393821,90.2672828276283,86.423629074834,83.4613721386379,83.3026159241004,93.721385611692,86.1024677245907,73.6397226316227,84.0760625547549,87.975223379244,85.0973289385262,84.0638917931656,87.1543093475874,84.0175388116344,86.6600874244813
2021-03,88.0851076509896,89.2255047043433,88.9781757784355,87.6360906608745,91.4563310771964,89.1595429085306,86.7888952677879,86.7920182021582,93.7846874794911,90.7010249310196,94.6199777333583,86.7216094144878,89.9168582162037,91.1929128832889,87.8686696399211,91.0879642724817,88.2901105262123,90.410307979503
2021-04,91.6792386081394,93.07766983141,92.1656938956335,92.9118455707005,94.6249526752743,92.9867746693465,90.0240050432587,91.6971263093035,94.2828551176913,92.047076182335,96.9636469226821,90.0825030900696,93.1935196116025,93.1605910092067,91.8745595599492,94.3034141943384,92.4366005160934,92.6738763881442
2021-05,94.7257196051676,95.9670306062665,93.6512801440027,94.8633213570684,96.5475537869862,95.1853558910756,94.3023303492992,97.1589031999593,95.2153009874716,94.9072665263701,99.1729339250477,93.4440497721166,95.9041607054973,94.5475533433523,95.0715651836882,97.858468447813,95.6853454370821,95.218571776902
2021-06,97.7328330195426,99.0770356569368,98.7951627102366,98.1475540138421,98.9451432663161,98.2635191524716,97.3279820925581,100.321715434221,101.920381056635,97.0340071719149,100.311333831236,96.3610731863549,97.7889447324248,95.0297438239956,98.5033209139247,101.007736650454,98.9239939699602,97.8270837535596
